"","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","linear_acc_x","linear_acc_y","linear_acc_z","gravity_x","gravity_y","gravity_z","orientation_z","orientation_x","orientation_y","activity"
"4165",-3.3209,-7.791,1.3073,-1.6323,-9.6698,-0.0315,-1.8227,2.1374,1.8464,-0.3789,-0.5738,0.3009,229.82,81.61,86.79,"vacuum"
"4166",-3.3472,-9.2012,0.4094,-2.1076,-9.5773,-0.0678,-1.3019,0.309,0.2809,-0.349,-0.4926,0.1397,224.8,77.58,91.84,"vacuum"
"4167",-3.0886,-9.0336,-0.4812,-2.3792,-9.513,-0.1104,-0.9174,0.5572,-0.3462,-0.1571,-0.5146,-0.0143,225.44,76.47,92.61,"vacuum"
"4168",-2.2746,-8.763,-0.3711,-2.2921,-9.5337,-0.1557,-0.0012,0.7753,-0.221,-0.0985,-0.693,-0.2715,221.45,75.95,93.28,"vacuum"
"4169",-3.0216,-9.4622,-0.3113,-2.0043,-9.5991,-0.1034,-1.0594,0.1457,-0.2137,-0.071,-0.7589,-0.5005,217.78,77.44,93.22,"vacuum"
"4170",-3.589,-10.1685,-0.9864,-1.8357,-9.633,-0.0777,-1.7809,-0.5301,-0.9373,-0.1052,-0.4969,-0.1071,219.12,79.33,91.62,"vacuum"
"4171",-1.3623,-10.3289,0.8691,-1.9983,-9.5986,-0.2078,0.6398,-0.7315,1.093,-0.0509,0.1189,0.1006,213.86,78.43,95.09,"vacuum"
"4172",1.4988,-10.9777,1.3671,-1.8562,-9.6268,-0.2232,2.9743,-1.278,1.7461,-0.0338,-0.0137,-0.1029,209.36,78.15,97.31,"vacuum"
"4173",-0.182,-8.9522,0.7757,-1.3402,-9.7141,-0.1012,1.2684,0.623,0.8698,-0.2219,-0.536,-0.0778,211.85,81.12,94.59,"vacuum"
"4174",-0.0527,-9.4622,0.1413,-0.9951,-9.7549,0.1441,0.9265,0.2938,-0.0358,0.2326,-0.357,-0.0894,221.56,84.12,81.76,"vacuum"
"4175",0.8332,-10.2786,0.1461,-0.8177,-9.7653,0.374,1.5029,-0.3428,-0.4217,0.1587,-0.5476,-0.0595,235.1,84.74,65.42,"vacuum"
"4176",1.4007,-9.4957,0.2011,-0.7047,-9.7702,0.4657,2.187,-0.009,-0.4872,0.2509,-0.7748,0.4414,239.16,85.23,59.14,"vacuum"
"4177",-2.1788,-8.8181,-0.0551,-0.9524,-9.7592,0.1482,-2.9698,-0.2128,-1.2935,-0.7619,-0.8084,0.2887,234.37,84.66,55.27,"vacuum"
"4178",-4.6856,-9.5364,-0.9553,-1.3876,-9.7052,-0.2336,-3.1869,0.4707,-0.2711,-0.5402,-0.9226,0.4518,191.17,83.72,90.77,"vacuum"
"4179",-2.854,-8.514,0.2466,-2.0331,-9.5804,-0.5019,-0.8781,0.8424,0.4692,-0.1914,-0.6698,0.1012,171.08,77.67,103.87,"vacuum"
"4180",-3.5411,-8.9546,-0.0623,-2.3418,-9.5129,-0.4376,-1.2627,0.5515,0.6697,-0.1242,-0.7944,-0.0564,170.53,76.51,102.12,"vacuum"
"4181",-2.672,-9.7231,-0.522,-2.3775,-9.5062,-0.3871,-0.1982,-0.0235,-0.0434,-0.2781,-0.9703,-0.1554,166.85,75.94,100.58,"vacuum"
"4182",-3.1988,-9.1892,-0.5962,-2.2089,-9.5448,-0.4322,-1.015,0.3613,-0.1612,-0.3325,-1.382,-0.3643,158.06,76.3,100.76,"vacuum"
"4183",-2.775,-9.9985,-0.0431,-1.9532,-9.6017,-0.4022,-1.2186,0.0707,0.7523,-0.1394,-0.9892,-0.5024,145.53,77.59,103.07,"vacuum"
"4184",0.0431,-9.4861,1.1301,-1.8154,-9.6316,-0.327,1.8176,0.1538,1.4353,-0.2005,-1.5329,-0.4071,139.42,78.79,101.41,"vacuum"
"4185",-0.7734,-9.6585,1.7574,-1.2948,-9.7208,-5e-04,0.5888,-0.1684,1.3214,0.2161,-1.451,-0.4486,141.79,81.35,96.37,"vacuum"
"4186",-0.6153,-8.8947,1.3288,-0.8746,-9.7603,0.3773,-0.1551,0.1992,0.036,-0.1174,-1.4706,-0.1578,160.25,84.13,68.36,"vacuum"
"4187",-0.8715,-9.1294,1.2259,-0.7704,-9.7503,0.7134,-0.2824,0.7125,0.8786,0.3419,-1.1273,-0.0406,163.42,84.51,62.15,"vacuum"
